Start_City_1,Start_City_2,Route_Agent_1_ 1,Route_Agent_1_ 2,Route_Agent_1_ 3,Route_Agent_1_ 4,Route_Agent_1_ 5,Route_Agent_1_ 6,Route_Agent_1_ 7,Route_Agent_1_ 8,Route_Agent_1_ 9,Route_Agent_1_10,Route_Agent_1_11,Route_Agent_1_12,Route_Agent_1_13,Route_Agent_1_14,Route_Agent_1_15,Route_Agent_1_16,Route_Agent_2_ 1,Route_Agent_2_ 2,Route_Agent_2_ 3,Route_Agent_2_ 4,Route_Agent_2_ 5,Route_Agent_2_ 6,Route_Agent_2_ 7,Route_Agent_2_ 8,Route_Agent_2_ 9,Route_Agent_2_10,Route_Agent_2_11,Benefit_Agent_1,Benefit_Agent_2,Cost_Agent_1,Cost_Agent_2,Payoff_Agent_1,Payoff_Agent_2,Total_Payoff,Avg_Payoff,Timestamp_Agent_1_ 1,Timestamp_Agent_1_ 2,Timestamp_Agent_1_ 3,Timestamp_Agent_1_ 4,Timestamp_Agent_1_ 5,Timestamp_Agent_1_ 6,Timestamp_Agent_1_ 7,Timestamp_Agent_1_ 8,Timestamp_Agent_1_ 9,Timestamp_Agent_1_10,Timestamp_Agent_1_11,Timestamp_Agent_1_12,Timestamp_Agent_1_13,Timestamp_Agent_1_14,Timestamp_Agent_1_15,Timestamp_Agent_1_16,Timestamp_Agent_1_17,Timestamp_Agent_1_18,Timestamp_Agent_1_19,Timestamp_Agent_1_20,Timestamp_Agent_2_ 1,Timestamp_Agent_2_ 2,Timestamp_Agent_2_ 3,Timestamp_Agent_2_ 4,Timestamp_Agent_2_ 5,Timestamp_Agent_2_ 6,Timestamp_Agent_2_ 7,Timestamp_Agent_2_ 8,Timestamp_Agent_2_ 9,Timestamp_Agent_2_10,Timestamp_Agent_2_11,Timestamp_Agent_2_12,Timestamp_Agent_2_13,Timestamp_Agent_2_14,Timestamp_Agent_2_15,Timestamp_Agent_2_16,Timestamp_Agent_2_17,Timestamp_Agent_2_18,Timestamp_Agent_2_19,Timestamp_Agent_2_20
1,2,1,4,19,13,15,18,20,9,8,11,10,1,,,,,2,6,7,3,14,12,16,5,17,2,,1650,1350,183.954,42.3,1466.046,1307.7,2773.746,1386.873,0,0,0,0.42,0,0,0,13.7034,12.1434,16.6954,15.5034,0,4.46,0,6.8,0,0,8.748,2.5,10.5234,0,0,1.34,0,2.968,0.58,0.92,0,0,4.814,3.736,2.08,0,1.62,0,2.528,3.25,0,0,0
1,3,1,4,19,13,15,18,20,11,8,2,10,1,,,,,3,14,7,6,17,5,9,16,12,3,,1650,1350,181.574,38.04,1468.426,1311.96,2780.386,1390.193,0,15.8114,0,0.42,0,0,0,13.9114,0,16.4574,12.1114,0,4.46,0,6.8,0,0,8.748,2.5,10.5234,0,0,0,0,1.764,1.08,0.74,0,2.004,4.828,2.414,3.534,0,0.28,0,3.094,1.484,0,0,0
1,4,1,12,14,3,7,6,17,5,11,10,19,1,,,,,4,16,18,15,13,20,9,8,2,4,,1650,1350,65.28,192.82,1584.72,1157.18,2741.9,1370.95,0,0,1.16,0,2.604,1.92,1.58,0,0,4.428,3.236,0.42,0,0.88,0,0,2.324,0,4.628,0,0,17.282,0,0,0,0,0,15.382,13.822,17.928,0,0,10.082,0,7.742,0.582,0,5.802,18.532,12.202
1,5,1,4,19,13,7,8,2,12,10,15,20,1,,,,,5,9,17,6,11,18,16,14,3,5,,1650,1350,261.746,45.48,1388.254,1304.52,2692.774,1346.387,0,20.5,0,0.42,0,0,17.4,18.6,0,23.394,0,22.1,4.46,0,24.254,0,0,0,2.5,24.5946,0,0,3.868,0,0,0.938,1.278,0,0.24,0,1.732,0,0,3.588,0,3.048,0.538,2.526,0,4.4212
1,6,1,4,19,13,15,18,20,9,8,2,10,1,,,,,6,7,3,14,12,16,5,17,11,6,,1650,1350,179.494,36.16,1470.506,1313.84,2784.346,1392.173,0,15.6034,0,0.42,0,0,0,13.7034,12.1434,16.2494,0,0,4.46,0,6.8,0,0,8.748,2.5,10.5234,0,0,0.76,0,2.388,0,0.34,0,2.628,4.588,3.396,1.5,0,1.04,0,1.948,2.91,0,0,0
1,7,1,4,19,13,15,18,20,16,10,8,14,12,1,,,,7,6,17,5,9,11,2,3,7,,,1800,1200,163.154,39.54,1636.846,1160.46,2797.306,1398.653,0,0,0,0.42,0,0,0,14.6754,0,13.2354,0,15.8954,4.46,15.4354,6.8,11.9054,0,8.748,2.5,10.5234,0,2.858,4.564,0,1.024,0.34,0,0,1.264,3.504,2.058,5.524,0,4.844,0,0,0.744,1.648,0,0
1,8,1,4,19,13,7,9,20,5,10,17,6,1,,,,,8,12,16,18,15,11,3,2,14,8,,1650,1350,256.534,141.38,1393.466,1208.62,2602.086,1301.043,0,0,0,0.42,21.4254,24.2534,17.4,0,18.24,22.7754,0,0,4.46,0,0,0,23.8534,0,2.5,19.8654,0,13.806,12.746,0,0,15.686,0,0,0,0,9.958,0.48,0,14.966,8.088,0.928,0,6.148,0,11.546
1,9,1,4,19,13,7,8,2,15,11,10,17,1,,,,,9,5,18,16,12,14,3,20,6,9,,1650,1350,272.4,44.752,1377.6,1305.248,2682.848,1341.424,0,20.5,0,0.42,0,0,17.4,18.6,0,25.062,23.87,0,4.46,0,22,0,26.14,0,2.5,0,0,0,2.65,0,0.24,4.8672,0,0,0,3.7272,0,1.91,0.948,2.37,0,1.47,0,0.48,0,3.2032
1,10,1,4,2,8,13,7,18,12,11,5,6,9,1,,,,10,19,20,15,3,14,16,17,10,,,1800,1200,256.82,43.518,1543.18,1156.482,2699.662,1349.831,0,2.42,0,0.42,23.182,23.862,19.166,4.32,24.462,0,22.542,21.176,6.226,0,0,0,0,20.216,0,0,0,0.8,2.5078,0,4.2378,0,0,0,5.0738,0,0,3.2478,0,2.7878,1.7878,3.7978,4.7738,0,0.2,1.4478
1,11,1,4,19,13,7,8,2,15,17,10,6,1,,,,,11,9,5,18,16,12,14,3,20,11,,1650,1350,267.94,47.432,1382.06,1302.568,2684.628,1342.314,0,20.5,0,0.42,0,25.394,17.4,18.6,0,24.634,0,0,4.46,0,22,0,23.556,0,2.5,0,0,0,2.602,0,0.66,4.8192,0,0,0.42,3.6792,0,1.862,0,2.322,0,1.422,0,0.9,0,3.1552
